bg_id,date,station,qpcr,dens,count.18s,totalreads.18s,sxtA,domA,taxon
SB01,3/13/2015,18,220,ND,327,149424,14,,Alexandrium
SB02,3/13/2015,22,84,ND,40,34388,NA,,Alexandrium
SB03,3/13/2015,27,3,ND,1,71225,NA,,Alexandrium
SB04,3/13/2015,32,5,ND,0,17763,NA,,Alexandrium
SB05,3/13/2015,36,2,ND,1,119109,NA,,Alexandrium
SB06,3/27/2015,18,1461,ND,1200,104149,6,,Alexandrium
SB07,3/27/2015,22,107,ND,152,124531,NA,,Alexandrium
SB08,3/27/2015,27,4,ND,0,146,NA,,Alexandrium
SB09,3/27/2015,32,2,ND,0,44588,NA,,Alexandrium
SB10,3/27/2015,36,3,ND,0,78494,NA,,Alexandrium
SB11,5/19/2015,6,3,ND,0,102746,NA,,Alexandrium
SB12,5/19/2015,13,2,ND,1,1757,NA,,Alexandrium
SB13,5/19/2015,18,184,ND,385,107896,1,,Alexandrium
SB14,5/19/2015,22,43,ND,71,43508,NA,,Alexandrium
SB15,5/19/2015,27,19,ND,0,1490,NA,,Alexandrium
SB16,5/19/2015,32,12,ND,0,11286,NA,,Alexandrium
SB17,5/19/2015,34,18,ND,0,7764,NA,,Alexandrium
SB18,5/19/2015,657,4,ND,0,61869,NA,,Alexandrium
SB19,5/27/2015,18,353,ND,1051,98765,2,,Alexandrium
SB20,5/27/2015,22,20,ND,36,15765,NA,,Alexandrium
SB21,5/27/2015,27,2,ND,0,113052,NA,,Alexandrium
SB22,5/27/2015,32,2,ND,0,63225,NA,,Alexandrium
SB23,5/27/2015,34,2,ND,1,37813,NA,,Alexandrium
SB24,7/21/2015,6,ND,ND,1,1943,NA,,Alexandrium
SB25,7/21/2015,13,4,ND,12,29761,NA,,Alexandrium
SB26,7/21/2015,657,2,ND,1,56145,NA,,Alexandrium
SB27,7/23/2015,18,4,ND,2,40887,2,,Alexandrium
SB28,7/23/2015,22,ND,ND,0,4419,NA,,Alexandrium
SB29,7/23/2015,27,ND,ND,0,53559,NA,,Alexandrium
SB30,7/23/2015,32,1,ND,1,176043,NA,,Alexandrium
SB31,7/23/2015,36,ND,ND,0,16924,NA,,Alexandrium
SB32,8/21/2015,21,14,ND,9,4870,NA,,Alexandrium
SB33,8/21/2015,27,1,ND,10,115701,NA,,Alexandrium
SB34,8/21/2015,36,3,ND,0,115884,NA,,Alexandrium
SB35,8/26/2015,6,ND,ND,0,2588,NA,,Alexandrium
SB36,8/26/2015,13,7,ND,21,37733,NA,,Alexandrium
SB37,8/26/2015,18,8,ND,55,5595,NA,,Alexandrium
SB38,8/26/2015,657,10,ND,64,58327,NA,,Alexandrium
SB39,11/5/2015,18,1,ND,25,4655,0,,Alexandrium
SB40,11/5/2015,22,ND,ND,0,300,NA,,Alexandrium
SB41,11/5/2015,27,2,ND,1,563,NA,,Alexandrium
SB42,11/5/2015,32,1,ND,3,2148,NA,,Alexandrium
SB43,11/5/2015,36,ND,ND,1,2086,NA,,Alexandrium
SB45,6/28/2016,13,168,ND,208,110920,NA,,Alexandrium
SB46,6/28/2016,18,15,ND,3,7807,NA,,Alexandrium
SB47,6/28/2016,22,452,ND,246,158284,NA,,Alexandrium
SB48,6/28/2016,27,4,ND,2,129064,NA,,Alexandrium
SB49,6/28/2016,32,ND,ND,2,20289,NA,,Alexandrium
SB50,6/28/2016,36,ND,ND,0,18555,NA,,Alexandrium
SB52,7/14/2016,18,3,ND,0,183,NA,,Alexandrium
SB53,7/14/2016,22,19,ND,1,569,NA,,Alexandrium
SB54,7/14/2016,27,4,ND,0,18991,NA,,Alexandrium
SB55,7/14/2016,32,2,ND,0,128004,NA,,Alexandrium
SB56,7/14/2016,36,2,ND,0,54421,NA,,Alexandrium
SB57,8/18/2016,18,3,ND,3,4362,0,,Alexandrium
SB58,8/18/2016,22,5,ND,1,5526,NA,,Alexandrium
SB59,8/18/2016,27,3,ND,0,116991,NA,,Alexandrium
SB60,8/18/2016,32,5,ND,NA,NA,NA,,Alexandrium
SB62,8/18/2016,38,2,ND,0,51396,NA,,Alexandrium
SB63,8/24/2016,6,36,NA,18,92285,NA,,Alexandrium
SB64,8/24/2016,13,5,ND,1,14359,NA,,Alexandrium
SB65,8/24/2016,18,9,ND,2,708,NA,,Alexandrium
SB66,8/24/2016,22,4,ND,0,611,NA,,Alexandrium
SB67,8/24/2016,27,2,ND,0,19210,NA,,Alexandrium
SB68,8/24/2016,32,3,ND,0,260,NA,,Alexandrium
SB69,8/24/2016,36,2,ND,0,3933,NA,,Alexandrium
SB70,8/24/2016,657,3,ND,0,81731,NA,,Alexandrium
SB71,9/9/2016,18,561,ND,24,4257,1,,Alexandrium
SB72,9/9/2016,22,51,ND,11,5487,NA,,Alexandrium
SB73,9/9/2016,27,4,ND,1,11459,NA,,Alexandrium
SB74,9/9/2016,32,3,ND,0,113564,NA,,Alexandrium
SB75,9/9/2016,36,3,ND,0,116269,NA,,Alexandrium
SB76,9/20/2016,6,3,ND,1,141763,NA,,Alexandrium
SB77,9/20/2016,13,27,ND,0,6557,NA,,Alexandrium
SB78,9/20/2016,18,2841,ND,1008,170953,5,,Alexandrium
SB79,9/20/2016,22,202,ND,27,10994,5,,Alexandrium
SB80,9/20/2016,27,ND,ND,1,44226,NA,,Alexandrium
SB81,9/20/2016,32,123,ND,0,11164,NA,,Alexandrium
SB82,9/20/2016,36,1,ND,0,81643,NA,,Alexandrium
SB83,9/20/2016,657,1,ND,0,11789,NA,,Alexandrium
SB84,10/11/2016,18,427,ND,199,34609,1,,Alexandrium
SB85,10/11/2016,22,941,ND,359,40324,NA,,Alexandrium
SB86,10/11/2016,27,28,ND,3,7435,NA,,Alexandrium
SB87,10/11/2016,32,1,ND,0,179430,NA,,Alexandrium
SB88,10/11/2016,33,ND,ND,0,27497,NA,,Alexandrium
SB89,10/18/2016,6,ND,ND,0,52895,NA,,Alexandrium
SB90,10/18/2016,13,ND,ND,0,13089,NA,,Alexandrium
SB91,10/18/2016,18,189,ND,33,21946,0,,Alexandrium
SB92,10/18/2016,22,80,ND,15,13471,NA,,Alexandrium
SB93,10/18/2016,27,12,ND,2,15915,NA,,Alexandrium
SB94,10/18/2016,32,8,ND,1,38588,NA,,Alexandrium
SB95,10/18/2016,657,2,ND,0,77879,NA,,Alexandrium
SB96,11/8/2016,6,ND,ND,2,110482,NA,,Alexandrium
SB97,11/8/2016,13,733,ND,12,56003,0,,Alexandrium
SB98,11/8/2016,18,5,ND,0,258,NA,,Alexandrium
SB99,11/8/2016,22,8,ND,0,808,NA,,Alexandrium
SB100,11/8/2016,27,2,ND,0,6921,NA,,Alexandrium
SB101,11/8/2016,32,ND,ND,2,94116,NA,,Alexandrium
SB102,11/8/2016,36,9,ND,1,22994,NA,,Alexandrium
SB105,12/13/2016,18,51,ND,4,13028,NA,,Alexandrium
SB106,12/13/2016,22,8,ND,3,6532,NA,,Alexandrium
SB107,12/13/2016,27,3,ND,0,6360,NA,,Alexandrium
SB108,12/13/2016,32,ND,ND,1,925,NA,,Alexandrium
SB109,12/13/2016,36,1,ND,0,38409,NA,,Alexandrium
SB113,1/11/2017,18,832,ND,135,11429,0,,Alexandrium
SB114,1/11/2017,22,2764,ND,135,9240,2,,Alexandrium
SB115,1/11/2017,27,180,ND,22,13813,NA,,Alexandrium
SB116,1/23/2017,18,265,ND,92,48401,0,,Alexandrium
SB117,1/23/2017,22,3193,ND,694,132343,20,,Alexandrium
SB118,1/23/2017,27,1106,ND,378,88409,NA,,Alexandrium
SB119,1/23/2017,32,582,ND,55,96655,NA,,Alexandrium
SB120,1/23/2017,36,5,ND,1,146249,NA,,Alexandrium
SB124,2/8/2017,18,455,ND,54,11096,5,,Alexandrium
SB125,2/17/2017,27,40,ND,55,192448,NA,,Alexandrium
SB126,2/17/2017,32,ND,ND,3,236207,NA,,Alexandrium
SB127,2/17/2017,36,ND,ND,1,237226,NA,,Alexandrium
SB128,3/7/2017,18,ND,ND,0,158822,0,,Alexandrium
SB129,3/7/2017,22,ND,ND,0,42522,NA,,Alexandrium
SB130,3/7/2017,27,ND,ND,0,77750,NA,,Alexandrium
SB131,3/7/2017,32,ND,ND,0,174103,NA,,Alexandrium
SB132,3/7/2017,36,ND,ND,0,132500,NA,,Alexandrium
SB133,4/4/2017,18,524,ND,523,96219,8,,Alexandrium
SB135,4/4/2017,22,41,ND,22,9971,NA,,Alexandrium
SB136,4/4/2017,27,1130,ND,943,90616,NA,,Alexandrium
SB137,4/4/2017,32,129,ND,26,143898,NA,,Alexandrium
SB138,4/4/2017,36,ND,ND,0,2764,NA,,Alexandrium
SB142,4/18/2017,18,864,ND,816,133213,0,,Alexandrium
SB143,4/18/2017,22,110,ND,180,114608,NA,,Alexandrium
SB144,4/18/2017,27,1866,ND,NA,NA,4,,Alexandrium
SB145,4/18/2017,32,ND,ND,NA,NA,NA,,Alexandrium
SB146,4/18/2017,36,ND,ND,2,151175,NA,,Alexandrium
SB148,5/17/2017,32,ND,ND,2,81751,NA,,Alexandrium
SB149,5/17/2017,36,1,ND,1,105323,NA,,Alexandrium
SB150,6/6/2017,18,6234,ND,2261,81245,1,,Alexandrium
SB151,6/6/2017,22,729,ND,247,20462,1,,Alexandrium
SB152,6/6/2017,27,3,ND,1,199274,NA,,Alexandrium
SB153,6/6/2017,32,ND,ND,2,151003,NA,,Alexandrium
SB154,6/6/2017,36,5,ND,2,128139,NA,,Alexandrium
SB155,6/22/2017,18,1423,ND,334,11892,1,,Alexandrium
SB156,6/22/2017,22,6179,ND,2007,65515,3,,Alexandrium
SB157,6/22/2017,27,301,ND,134,113936,NA,,Alexandrium
SB158,6/22/2017,32,ND,ND,1,386892,NA,,Alexandrium
SB159,6/22/2017,36,ND,ND,0,172967,NA,,Alexandrium
SB160,7/31/2017,18,56,ND,3,791,2,,Alexandrium
SB161,7/31/2017,22,96,ND,4,1617,NA,,Alexandrium
SB162,7/31/2017,27,1,ND,0,139269,NA,,Alexandrium
SB163,7/31/2017,32,ND,ND,0,83076,NA,,Alexandrium
SB164,7/31/2017,36,ND,ND,0,127695,NA,,Alexandrium
SB165,8/22/2017,6,ND,ND,1,114352,NA,,Alexandrium
SB166,8/22/2017,13,11,ND,2,26162,NA,,Alexandrium
SB167,8/22/2017,18,814,ND,49,5350,0,,Alexandrium
SB168,8/22/2017,22,8,ND,0,40717,NA,,Alexandrium
SB169,8/22/2017,27,ND,ND,0,12206,NA,,Alexandrium
SB170,8/22/2017,32,9,ND,0,32431,NA,,Alexandrium
SB171,8/22/2017,34,12,ND,2,68624,NA,,Alexandrium
SB172,8/22/2017,657,2,ND,1,102612,NA,,Alexandrium
SB173,8/30/2017,18,171,14.53,8,379,4,,Alexandrium
SB174,8/30/2017,22,1591,ND,207,89822,7,,Alexandrium
SB175,8/30/2017,27,2,ND,0,4900,NA,,Alexandrium
SB176,8/30/2017,32,1,ND,0,157303,NA,,Alexandrium
SB177,8/30/2017,36,8,ND,0,129297,NA,,Alexandrium
SB178,9/28/2017,18,39,2.23,1,580,0,,Alexandrium
SB179,9/28/2017,22,3259,18.22,666,151658,0,,Alexandrium
SB180,9/28/2017,27,4,ND,2,27943,NA,,Alexandrium
SB181,9/28/2017,32,1,ND,0,120814,NA,,Alexandrium
SB182,9/28/2017,36,ND,ND,0,276757,NA,,Alexandrium
SB183,10/18/2017,6,2,ND,0,239841,NA,,Alexandrium
SB184,10/18/2017,13,24,ND,2,49207,NA,,Alexandrium
SB185,10/18/2017,18,10,ND,0,164,NA,,Alexandrium
SB186,10/18/2017,22,43,ND,10,50927,NA,,Alexandrium
SB187,10/18/2017,27,5,ND,0,2133,NA,,Alexandrium
SB188,10/18/2017,32,7,ND,0,6782,NA,,Alexandrium
SB189,10/18/2017,34,5,ND,0,5018,NA,,Alexandrium
SB190,10/18/2017,657,3,ND,0,82226,NA,,Alexandrium
SB191,10/27/2017,18,35,ND,9,14282,1,,Alexandrium
SB192,10/27/2017,22,5,ND,0,8462,NA,,Alexandrium
SB193,10/27/2017,27,5,ND,0,59784,NA,,Alexandrium
SB194,10/27/2017,32,3,ND,1,33774,NA,,Alexandrium
SB195,10/27/2017,36,4,ND,0,155911,NA,,Alexandrium
SB196,11/14/2017,6,3,ND,0,129,NA,,Alexandrium
SB197,11/14/2017,13,5,ND,0,229,NA,,Alexandrium
SB198,11/14/2017,18,14,ND,2,18545,1,,Alexandrium
SB199,11/14/2017,22,23,ND,1,18938,NA,,Alexandrium
SB200,11/14/2017,27,2,ND,0,10350,NA,,Alexandrium
SB201,11/14/2017,32,3,ND,0,261,NA,,Alexandrium
SB202,11/14/2017,36,2,ND,0,3966,NA,,Alexandrium
SB203,11/14/2017,657,13,ND,0,30604,NA,,Alexandrium
SB258,1/10/2018,18,322,NA,NA,NA,NA,,Alexandrium
SB259,1/10/2018,22,646,NA,NA,NA,NA,,Alexandrium
SB260,1/10/2018,27,ND,NA,NA,NA,NA,,Alexandrium
SB266,2/7/2018,18,5960,NA,NA,NA,NA,,Alexandrium
SB267,2/7/2018,22,2083,NA,NA,NA,NA,,Alexandrium
SB268,2/7/2018,27,381,NA,NA,NA,NA,,Alexandrium
SB272,2/23/2018,18,7999,NA,NA,NA,NA,,Alexandrium
SB273,2/23/2018,22,2350,NA,NA,NA,NA,,Alexandrium
SB274,2/23/2018,27,145,NA,NA,NA,NA,,Alexandrium
SB277,3/9/2018,18,82363,NA,NA,NA,NA,,Alexandrium
SB278,3/9/2018,27,7970,NA,NA,NA,NA,,Alexandrium
SB283,3/15/2018,18,93376,NA,NA,NA,NA,,Alexandrium
SB284,3/15/2018,27,11655,NA,NA,NA,NA,,Alexandrium
SB288,3/26/2018,18,5829,NA,NA,NA,NA,,Alexandrium
SB289,3/26/2018,27,669,NA,NA,NA,NA,,Alexandrium
SB292,4/9/2018,18,298,NA,NA,NA,NA,,Alexandrium
SB293,4/9/2018,27,102,NA,NA,NA,NA,,Alexandrium
SB298,4/18/2018,18,551,NA,NA,NA,NA,,Alexandrium
SB299,4/18/2018,22,846,NA,NA,NA,NA,,Alexandrium
SB300,4/18/2018,27,458,NA,NA,NA,NA,,Alexandrium
SB304,5/17/2018,18,114,NA,NA,NA,NA,,Alexandrium
SB305,5/17/2018,22,112,NA,NA,NA,NA,,Alexandrium
SB306,5/17/2018,27,51666,NA,NA,NA,NA,,Alexandrium
SB309,6/6/2018,18,300,NA,NA,NA,NA,,Alexandrium
SB310,6/6/2018,22,115,NA,NA,NA,NA,,Alexandrium
SB311,6/6/2018,27,20,NA,NA,NA,NA,,Alexandrium
SB316,6/11/2018,18,154,NA,NA,NA,NA,,Alexandrium
SB317,6/11/2018,22,38,NA,NA,NA,NA,,Alexandrium
SB318,6/11/2018,27,42,NA,NA,NA,NA,,Alexandrium
SB324,7/12/2018,18,957,NA,NA,NA,NA,,Alexandrium
SB325,7/12/2018,22,324,NA,NA,NA,NA,,Alexandrium
SB326,7/12/2018,27,38,NA,NA,NA,NA,,Alexandrium
SB330,7/20/2018,18,354,NA,NA,NA,NA,,Alexandrium
SB331,7/20/2018,27,21,NA,NA,NA,NA,,Alexandrium
SB335,8/3/2018,18,10603,NA,NA,NA,NA,,Alexandrium
SB336,8/3/2018,22,338,NA,NA,NA,NA,,Alexandrium
SB342,8/14/2018,18,16418,NA,NA,NA,NA,,Alexandrium
SB343,8/14/2018,22,152,NA,NA,NA,NA,,Alexandrium
SB344,8/14/2018,27,24,NA,NA,NA,NA,,Alexandrium
SB212,12/16/2015,13,ND,NA,NA,NA,NA,,Alexandrium
SB213,12/16/2015,18,ND,NA,NA,NA,NA,,Alexandrium
SB214,12/16/2015,22,ND,NA,NA,NA,NA,,Alexandrium
SB215,12/16/2015,27,ND,NA,NA,NA,NA,,Alexandrium
SB216,12/16/2015,32,ND,NA,NA,NA,NA,,Alexandrium
SB217,12/16/2015,36,ND,NA,NA,NA,NA,,Alexandrium
SB220,1/21/2016,13,135,NA,NA,NA,NA,,Alexandrium
SB221,1/21/2016,18,52,NA,NA,NA,NA,,Alexandrium
SB222,1/21/2016,22,300,NA,NA,NA,NA,,Alexandrium
SB223,1/21/2016,27,77,NA,NA,NA,NA,,Alexandrium
SB224,1/21/2016,32,61,NA,NA,NA,NA,,Alexandrium
SB225,1/21/2016,36,52,NA,NA,NA,NA,,Alexandrium
SB228,3/9/2016,13,52,NA,NA,NA,NA,,Alexandrium
SB229,3/9/2016,18,77,NA,NA,NA,NA,,Alexandrium
SB231,3/16/2016,18,4113,NA,NA,NA,NA,,Alexandrium
SB232,3/16/2016,22,2172,NA,NA,NA,NA,,Alexandrium
SB233,3/16/2016,27,1034,NA,NA,NA,NA,,Alexandrium
SB234,3/16/2016,32,352,NA,NA,NA,NA,,Alexandrium
SB235,3/16/2016,36,66,NA,NA,NA,NA,,Alexandrium
SB236,4/1/2016,22,2893,NA,NA,NA,NA,,Alexandrium
SB237,4/1/2016,27,724,NA,NA,NA,NA,,Alexandrium
SB238,4/1/2016,32,1625,NA,NA,NA,NA,,Alexandrium
SB239,4/1/2016,36,ND,NA,NA,NA,NA,,Alexandrium
SB241,4/27/2016,13,7928,NA,NA,NA,NA,,Alexandrium
SB242,4/27/2016,18,28756,NA,NA,NA,NA,,Alexandrium
SB243,4/27/2016,22,93528,NA,NA,NA,NA,,Alexandrium
SB244,4/27/2016,27,11600,NA,NA,NA,NA,,Alexandrium
SB245,4/27/2016,32,132,NA,NA,NA,NA,,Alexandrium
SB246,4/27/2016,36,59,NA,NA,NA,NA,,Alexandrium
SB249,5/18/2016,13,1114,NA,NA,NA,NA,,Alexandrium
SB250,5/18/2016,18,859,NA,NA,NA,NA,,Alexandrium
SB251,5/18/2016,22,1938,NA,NA,NA,NA,,Alexandrium
SB252,5/18/2016,27,48,NA,NA,NA,NA,,Alexandrium
SB253,5/18/2016,32,ND,NA,NA,NA,NA,,Alexandrium
SB254,5/18/2016,36,ND,NA,NA,NA,NA,,Alexandrium
SB257,1/10/2018,13,612,NA,NA,NA,NA,,Alexandrium
SB261,1/10/2018,32,53,NA,NA,NA,NA,,Alexandrium
SB262,1/10/2018,36,206,NA,NA,NA,NA,,Alexandrium
SB265,2/7/2018,13,417,NA,NA,NA,NA,,Alexandrium
SB269,2/7/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB270,2/7/2018,36,ND,NA,NA,NA,NA,,Alexandrium
SB275,2/23/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB276,2/23/2018,36,ND,NA,NA,NA,NA,,Alexandrium
SB279,3/9/2018,32,437,NA,NA,NA,NA,,Alexandrium
SB280,3/9/2018,36,438,NA,NA,NA,NA,,Alexandrium
SB282,3/15/2018,13,12510,NA,NA,NA,NA,,Alexandrium
SB285,3/15/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB286,3/15/2018,36,523,NA,NA,NA,NA,,Alexandrium
SB290,3/26/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB291,3/26/2018,36,437,NA,NA,NA,NA,,Alexandrium
SB294,4/9/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB295,4/9/2018,36,625,NA,NA,NA,NA,,Alexandrium
SB297,4/18/2018,13,ND,NA,NA,NA,NA,,Alexandrium
SB301,4/18/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB302,4/18/2018,34,ND,NA,NA,NA,NA,,Alexandrium
SB307,5/17/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB308,5/17/2018,36,ND,NA,NA,NA,NA,,Alexandrium
SB312,6/6/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB313,6/6/2018,36,ND,NA,NA,NA,NA,,Alexandrium
SB315,6/11/2018,13,ND,NA,NA,NA,NA,,Alexandrium
SB319,6/11/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB320,6/11/2018,34,ND,NA,NA,NA,NA,,Alexandrium
SB323,7/12/2018,13,498,NA,NA,NA,NA,,Alexandrium
SB327,7/12/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB328,7/12/2018,34,ND,NA,NA,NA,NA,,Alexandrium
SB332,7/20/2018,36,ND,NA,NA,NA,NA,,Alexandrium
SB333,7/20/2018,22,ND,NA,NA,NA,NA,,Alexandrium
SB334,7/20/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB337,8/3/2018,27,ND,NA,NA,NA,NA,,Alexandrium
SB338,8/3/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB339,8/3/2018,36,ND,NA,NA,NA,NA,,Alexandrium
SB341,8/14/2018,13,ND,NA,NA,NA,NA,,Alexandrium
SB345,8/14/2018,32,ND,NA,NA,NA,NA,,Alexandrium
SB346,8/14/2018,36,ND,NA,NA,NA,NA,,Alexandrium
SB60,8/18/2016,32,ND,NA,NA,NA,NA,,Alexandrium
SB104,12/13/2016,13,ND,NA,NA,NA,NA,,Alexandrium
SB112,1/11/2017,13,ND,NA,NA,NA,NA,,Alexandrium
SB123,2/8/2017,13,ND,NA,NA,NA,NA,,Alexandrium
SB141,4/18/2017,13,ND,NA,NA,NA,NA,,Alexandrium
SB506,7/13/2020,36,ND,,,,,,Alexandrium
SB507,7/13/2020,32,ND,,,,,,Alexandrium
SB508,7/13/2020,27,ND,,,,,,Alexandrium
SB509,7/13/2020,22,ND,,,,,,Alexandrium
SB510,7/13/2020,18,ND,,,,,,Alexandrium
SB511,8/11/2020,36,ND,,,,,,Alexandrium
SB512,8/11/2020,32,ND,,,,,,Alexandrium
SB513,8/11/2020,27,ND,,,,,,Alexandrium
SB514,8/11/2020,22,ND,,,,,,Alexandrium
SB515,8/11/2020,18,323.4,,,,,,Alexandrium
SB516,8/11/2020,13,ND,,,,,,Alexandrium
SB517,9/10/2020,36,ND,,,,,,Alexandrium
SB518,9/10/2020,32,ND,,,,,,Alexandrium
SB519,9/10/2020,27,ND,,,,,,Alexandrium
SB520,9/10/2020,22,ND,,,,,,Alexandrium
SB521,9/10/2020,18,114.9,,,,,,Alexandrium
SB522,9/10/2020,13,ND,,,,,,Alexandrium
SB523,10/9/2020,36,ND,,,,,,Alexandrium
SB524,10/9/2020,32,ND,,,,,,Alexandrium
SB525,10/9/2020,27,ND,,,,,,Alexandrium
SB526,10/9/2020,22,86.5,,,,,,Alexandrium
SB527,10/9/2020,18,ND,,,,,,Alexandrium
SB528,10/9/2020,13,ND,,,,,,Alexandrium
SB529,11/19/2020,36,ND,,,,,,Alexandrium
SB530,11/19/2020,32,ND,,,,,,Alexandrium
SB531,11/19/2020,27,ND,,,,,,Alexandrium
SB532,11/19/2020,22,ND,,,,,,Alexandrium
SB533,11/19/2020,18,ND,,,,,,Alexandrium
SB534,11/19/2020,13,ND,,,,,,Alexandrium
SB535,12/17/2020,36,ND,,,,,,Alexandrium
SB536,12/17/2020,32,ND,,,,,,Alexandrium
SB537,12/17/2020,27,ND,,,,,,Alexandrium
SB538,12/17/2020,22,4.8,,,,,,Alexandrium
SB539,12/17/2020,18,5.7,,,,,,Alexandrium
SB540,12/17/2020,13,21.9,,,,,,Alexandrium
SB174,8/30/2017,22,270,0.4,135,89822,,,Dinophysis
SB185,10/18/2017,18,0,0.17,0,164,,,Dinophysis
SB198,11/14/2017,18,78,14.53,39,18545,,,Dinophysis
SB199,11/14/2017,22,148,7.26,74,18938,,,Dinophysis
SB01,3/13/2015,18,280,13.4,ND,149424,,ND,Pseudo-nitzschia
SB02,3/13/2015,22,ND,1.8,ND,34388,,ND,Pseudo-nitzschia
SB03,3/13/2015,27,ND,ND,ND,71225,,ND,Pseudo-nitzschia
SB04,3/13/2015,32,ND,ND,ND,17763,,ND,Pseudo-nitzschia
SB05,3/13/2015,36,ND,ND,ND,119109,,ND,Pseudo-nitzschia
SB06,3/27/2015,18,86,0.4,ND,104149,,ND,Pseudo-nitzschia
SB07,3/27/2015,22,344,47.5,ND,124531,,ND,Pseudo-nitzschia
SB08,3/27/2015,27,ND,ND,ND,146,,ND,Pseudo-nitzschia
SB09,3/27/2015,32,ND,ND,ND,44588,,ND,Pseudo-nitzschia
SB10,3/27/2015,36,ND,ND,ND,78494,,ND,Pseudo-nitzschia
SB11,5/19/2015,6,ND,ND,ND,102746,,ND,Pseudo-nitzschia
SB12,5/19/2015,13,ND,ND,ND,1757,,ND,Pseudo-nitzschia
SB13,5/19/2015,18,132,152.8,ND,107896,,ND,Pseudo-nitzschia
SB14,5/19/2015,22,ND,ND,ND,43508,,ND,Pseudo-nitzschia
SB15,5/19/2015,27,ND,ND,ND,1490,,ND,Pseudo-nitzschia
SB16,5/19/2015,32,ND,ND,ND,11286,,ND,Pseudo-nitzschia
SB17,5/19/2015,34,ND,ND,ND,7764,,ND,Pseudo-nitzschia
SB18,5/19/2015,657,ND,ND,ND,61869,,ND,Pseudo-nitzschia
SB19,5/27/2015,18,20,3.6,ND,98765,,ND,Pseudo-nitzschia
SB20,5/27/2015,22,ND,12.1,ND,15765,,ND,Pseudo-nitzschia
SB21,5/27/2015,27,ND,ND,ND,113052,,ND,Pseudo-nitzschia
SB22,5/27/2015,32,ND,ND,ND,63225,,ND,Pseudo-nitzschia
SB23,5/27/2015,34,ND,ND,ND,37813,,ND,Pseudo-nitzschia
SB24,7/21/2015,6,ND,ND,ND,1943,,ND,Pseudo-nitzschia
SB25,7/21/2015,13,ND,ND,ND,29761,,ND,Pseudo-nitzschia
SB26,7/21/2015,657,ND,ND,ND,56145,,ND,Pseudo-nitzschia
SB27,7/23/2015,18,94,52.8,ND,40887,,ND,Pseudo-nitzschia
SB28,7/23/2015,22,ND,ND,ND,4419,,ND,Pseudo-nitzschia
SB29,7/23/2015,27,ND,ND,ND,53559,,ND,Pseudo-nitzschia
SB30,7/23/2015,32,ND,ND,ND,176043,,ND,Pseudo-nitzschia
SB31,7/23/2015,36,ND,ND,ND,16924,,ND,Pseudo-nitzschia
SB32,8/21/2015,21,ND,9.1,ND,4870,,ND,Pseudo-nitzschia
SB33,8/21/2015,27,ND,ND,ND,115701,,ND,Pseudo-nitzschia
SB34,8/21/2015,36,ND,ND,ND,115884,,ND,Pseudo-nitzschia
SB35,8/26/2015,6,ND,ND,ND,2588,,ND,Pseudo-nitzschia
SB36,8/26/2015,13,ND,ND,ND,37733,,ND,Pseudo-nitzschia
SB37,8/26/2015,18,ND,ND,ND,5595,,ND,Pseudo-nitzschia
SB38,8/26/2015,657,ND,ND,ND,58327,,ND,Pseudo-nitzschia
SB39,11/5/2015,18,ND,ND,ND,4655,,ND,Pseudo-nitzschia
SB40,11/5/2015,22,ND,ND,ND,300,,ND,Pseudo-nitzschia
SB41,11/5/2015,27,ND,ND,ND,563,,ND,Pseudo-nitzschia
SB46,6/28/2016,18,18,0.2,ND,7807,,NA,Pseudo-nitzschia
SB58,8/18/2016,22,106,36.7,ND,5526,,NA,Pseudo-nitzschia
SB105,12/13/2016,18,56,29.1,ND,13028,,NA,Pseudo-nitzschia
SB113,1/11/2017,18,ND,4.3,ND,11429,,NA,Pseudo-nitzschia
SB132,3/7/2017,36,ND,26.7,ND,132500,,NA,Pseudo-nitzschia
SB160,7/31/2017,18,ND,20.1,ND,791,,NA,Pseudo-nitzschia
SB161,7/31/2017,22,ND,21.8,ND,1617,,NA,Pseudo-nitzschia
SB173,8/30/2017,18,ND,0.8,ND,379,,NA,Pseudo-nitzschia
SB198,11/14/2017,18,18,34.2,ND,18545,,NA,Pseudo-nitzschia
SB199,11/14/2017,22,ND,29.1,ND,18938,,NA,Pseudo-nitzschia
